Name,AgeYears,AgeMonths,Gender,ClientId,ClientCode,RegionId,Region,InstitutionId,Institution,GroupId,Group,SubGroupId1,SubGroup1,SubGroupId2,SubGroup2,TestResultId,DateCompleted,DaysSince,QuestionsCompleted,Band,Score,Duration,An01,Sc01,Du01,An02,Sc02,Du02,An03,Sc03,Du03,An04,Sc04,Du04,An05,Sc05,Du05,An06,Sc06,Du06,An07,Sc07,Du07,An08,Sc08,Du08,An09,Sc09,Du09,An10,Sc10,Du10,An11,Sc11,Du11,An12,Sc12,Du12,An13,Sc13,Du13,An14,Sc14,Du14,An15,Sc15,Du15,An16,Sc16,Du16,An17,Sc17,Du17,An18,Sc18,Du18,An19,Sc19,Du19,An20,Sc20,Du20,An21,Sc21,Du21,An22,Sc22,Du22,An23,Sc23,Du23,An24,Sc24,Du24,An25,Sc25,Du25,An26,Sc26,Du26,An27,Sc27,Du27,An28,Sc28,Du28,An29,Sc29,Du29,An30,Sc30,Du30,An31,Sc31,Du31,An32,Sc32,Du32
rkr1000,22,272,F,992,gauwec15stl,243,Westcol,3576,Thuba Makote,29876,Nated,29981,Human Resources N4,0,0,760975,18/04/2016 13:33,80,32,1,17,62.257,Same,1,1.078,Not the same,1,0.702,Same,0,0.593,Not the same,0,0.531,Same,0,0.523,Same,1,46.318,Same,1,0.687,Not the same,1,0.308,Same,1,0.389,Not the same,0,0.291,Not the same,1,0.733,Same,0,0.37,Not the same,1,0.963,Same,1,0.5,Not the same,0,0.307,Same,0,0.407,Not the same,0,0.332,Same,1,0.358,Not the same,1,0.346,Same,0,0.357,Not the same,0,0.31,Same,1,0.388,Not the same,0,0.354,Same,0,1.287,Not the same,1,0.329,Same,1,0.949,Not the same,1,0.341,Same,0,0.342,Not the same,0,0.388,Same,1,0.769,Not the same,1,0.359,Same,0,0.348
rkr1001,18,219,M,992,gauwec15stl,243,Westcol,3573,Krugersdorp,29866,National Certificate Vocations,47650,TOURISM L2 Group 1,0,0,720925,26/01/2016 11:06,164,32,4,23,227,Same,1,16,Not the same,1,11,Not the same,1,8,Same,1,4,Not the same,1,5,Same,1,4,Not the same,0,3,Not the same,1,7,Same,1,4,Same,1,6,Not the same,1,18,Not the same,1,14,Not the same,1,8,Same,1,7,Same,1,8,Not the same,1,8,Not the same,0,5,Same,1,9,Not the same,1,5,Same,0,14,Same,1,6,Same,1,9,Not the same,0,5,Same,0,8,Same,0,7,Same,1,9,Not the same,1,3,Not the same,1,4,Not the same,0,4,Not the same,0,3,Not the same,1,4,Same,0,1
rkr1002,28,338,F,992,gauwec15stl,243,Westcol,3573,Krugersdorp,29866,National Certificate Vocations,29913,Office Administration L2,0,0,713256,22/01/2016 11:52,167,32,4,25,139,Same,1,17,Not the same,1,4,Not the same,1,5,Same,1,4,Not the same,1,7,Same,1,4,Not the same,0,3,Not the same,1,8,Same,1,4,Not the same,0,5,Not the same,1,3,Not the same,1,3,Not the same,1,3,Not the same,0,5,Same,1,4,Not the same,1,3,Same,1,4,Same,1,4,Not the same,1,3,Not the same,1,3,Same,1,6,Same,1,4,Not the same,0,4,Not the same,1,3,Same,0,3,Same,1,3,Not the same,1,4,Not the same,1,4,Not the same,0,3,Not the same,0,3,Not the same,1,3,Not the same,1,3
rkr1003,22,269,M,992,gauwec15stl,243,Westcol,3573,Krugersdorp,29866,National Certificate Vocations,29913,Office Administration L2,0,0,713083,22/01/2016 10:51,168,32,4,24,249,Same,1,9,Not the same,1,7,Not the same,1,12,Same,1,10,Not the same,1,5,Same,1,7,Same,1,5,Not the same,1,7,Same,1,13,Same,1,7,Not the same,1,10,Not the same,1,9,Not the same,1,4,Same,1,8,Same,1,7,Same,0,16,Same,1,11,Same,1,4,Not the same,1,4,Not the same,1,4,Same,1,4,Same,1,16,Same,1,6,Same,0,6,Same,0,4,Same,1,4,Same,0,4,Not the same,1,11,Not the same,0,6,Not the same,0,17,Same,0,5,Same,0,7
rkr1004,21,253,M,992,gauwec15stl,243,Westcol,3573,Krugersdorp,29866,National Certificate Vocations,47643,"Finance, Economics & Accounting L2 Group 1",0,0,712949,22/01/2016 10:29,168,32,3,21,197,Same,1,8,Not the same,1,6,Not the same,1,6,Same,1,7,Not the same,1,5,Same,1,5,Same,1,5,Not the same,1,11,Same,1,6,Same,1,6,Not the same,1,6,Not the same,1,8,Not the same,1,5,Same,1,4,Same,1,4,Not the same,1,10,Same,1,4,Same,1,9,Not the same,1,4,Same,0,5,Same,1,5,Not the same,0,6,Not the same,0,10,Same,0,6,Same,0,3,Same,1,9,Same,0,5,Same,0,6,Not the same,0,6,Not the same,0,6,Same,0,4,Same,0,7
rkr1005,22,274,M,992,gauwec15stl,243,Westcol,3573,Krugersdorp,29866,National Certificate Vocations,47648,Office Administration L2 Group 4,0,0,712933,22/01/2016 10:28,168,32,4,24,255,Same,1,25,Not the same,1,8,Not the same,1,12,Same,1,6,Not the same,1,8,Same,1,5,Same,1,8,Not the same,1,18,Same,1,4,Same,1,25,Not the same,1,10,Not the same,1,4,Not the same,1,9,Same,1,4,Same,1,4,Not the same,1,5,Same,1,3,Same,1,6,Not the same,1,6,Same,0,7,Same,1,6,Same,1,5,Same,1,8,Same,0,7,Same,0,6,Not the same,0,7,Same,0,6,Same,0,5,Same,1,11,Same,1,5,Same,0,5,Same,0,7
rkr1006,24,289,F,992,gauwec15stl,243,Westcol,3573,Krugersdorp,29866,National Certificate Vocations,29913,Office Administration L2,0,0,712805,22/01/2016 10:11,168,32,2,20,143,Not the same,0,6,Not the same,1,5,Not the same,1,12,Same,1,5,Not the same,1,6,Same,1,4,Not the same,0,4,Not the same,1,6,Same,1,4,Same,1,3,Not the same,1,5,Not the same,1,6,Not the same,1,3,Same,1,3,Same,1,4,Not the same,1,4,Same,1,4,Same,1,3,Same,0,7,Same,0,5,Same,1,3,Same,1,3,Not the same,0,6,Not the same,1,3,Same,0,5,Not the same,0,4,Not the same,1,3,Same,0,3,Not the same,0,4,Not the same,0,4,Same,0,3,Same,0,3
rkr1007,18,226,M,992,gauwec15stl,243,Westcol,3573,Krugersdorp,29866,National Certificate Vocations,47650,TOURISM L2 Group 1,0,0,712744,22/01/2016 10:05,168,32,4,23,234,Same,1,24,Not the same,1,12,Same,0,8,Same,1,6,Not the same,1,10,Same,1,10,Same,1,4,Not the same,1,8,Same,1,6,Same,1,7,Not the same,1,5,Not the same,1,4,Not the same,1,4,Not the same,0,5,Same,1,6,Not the same,1,4,Same,1,6,Same,1,6,Not the same,1,5,Not the same,1,5,Same,1,11,Not the same,0,6,Not the same,0,11,Not the same,1,7,Same,0,6,Not the same,0,8,Not the same,1,10,Not the same,1,4,Same,1,7,Not the same,0,4,Same,0,6,Same,0,9
rkr1008,21,257,F,992,gauwec15stl,243,Westcol,3573,Krugersdorp,29866,National Certificate Vocations,47648,Office Administration L2 Group 4,0,0,712446,22/01/2016 09:34,168,32,4,24,388,Same,1,18,Not the same,1,10,Not the same,1,5,Same,1,6,Not the same,1,21,Same,1,3,Not the same,0,17,Not the same,1,10,Same,1,3,Same,1,4,Not the same,1,7,Same,0,5,Not the same,1,4,Same,1,4,Same,1,4,Not the same,1,3,Same,1,4,Same,1,3,Not the same,1,3,Same,0,3,Same,1,4,Same,1,4,Not the same,0,5,Not the same,1,14,Same,0,73,Not the same,0,38,Not the same,1,63,Not the same,1,31,Not the same,0,5,Not the same,0,4,Not the same,1,7,Not the same,1,3
rkr1009,28,338,F,992,gauwec15stl,243,Westcol,3573,Krugersdorp,29866,National Certificate Vocations,47643,"Finance, Economics & Accounting L2 Group 1",0,0,710851,21/01/2016 13:17,168,32,4,25,333,Same,1,53,Not the same,1,11,Not the same,1,11,Same,1,16,Not the same,1,6,Not the same,0,4,Not the same,0,12,Not the same,1,12,Same,1,10,Not the same,0,10,Not the same,1,5,Not the same,1,6,Not the same,1,6,Same,1,16,Same,1,13,Not the same,1,6,Same,1,7,Same,1,6,Not the same,1,10,Not the same,1,10,Same,1,13,Same,1,14,Not the same,0,32,Not the same,1,4,Not the same,1,5,Not the same,0,5,Not the same,1,5,Not the same,1,5,Not the same,0,6,Not the same,0,5,Not the same,1,5,Not the same,1,4
